item_name,list_price,unit_cost,stock_code,vat_rate,supplier_code
LDF Lease settlement,0,0,YO-005,UK Standard Rate,
LACTA Milk Chocolate 200g,4.8,0,MOND042,UK Standard Rate,S00-141
PAVLIDIS Dark chocolate Orange 100g,2.95,0,MOND043,UK Standard Rate,S00-141
LACTA Chocolate Spread 360g,5.7,0,MOND044,UK Standard Rate,S00-141
Savatiano white wine 750ml,10.3,0,MARK001,UK Standard Rate,S00-202
Savatiano white wine 750ml (Box of 12),113.3,0,MARK001-12,UK Standard Rate,
Malagousia white wine 750ml,11,0,MARK002,UK Standard Rate,S00-202
Malagousia white wine 750ml (Box of 12),121,0,MARK002-12,UK Standard Rate,
Merlot rose wine 750ml,11,0,MARK003,UK Standard Rate,S00-202
Merlot rose wine 750ml (Box of 12),121,0,MARK003-12,UK Standard Rate,
Cabernet Sauvignon Merlot red wine  750ml,11.7,0,MARK004,UK Standard Rate,S00-202
Cabernet Sauvignon Merlot red wine 750ml (Box of 12),128.7,0,MARK004-12,UK Standard Rate,
ROCK Sauvignon red wine 750ml,9.5,0,MARK005,UK Standard Rate,S00-202
ROCK Sauvignon red wine 750ml (Box of 12),104.5,0,MARK005-12,UK Standard Rate,
PENCIL Muscat white wine 750ml,9.5,0,MARK006,UK Standard Rate,S00-202
PENCIL Muscat white wine 750ml (Box of 12),104.5,0,MARK006-12,UK Standard Rate,
SCISSORS Merlot rose wine 750ml,9.3,0,MARK007,UK Standard Rate,S00-202
PAPER white wine 750ml,9.3,0,MARK008,UK Standard Rate,S00-202
PAPER white wine 750ml (Box of 12),102.3,0,MARK008-12,UK Standard Rate,
FILARETOS white wine 1.5lt,11.6,0,MARK009,UK Standard Rate,S00-202
FILARETOS white wine 1.5lt (Box of 12),127.6,0,MARK009-12,UK Standard Rate,
FILARETOS rose wine 1.5lt,11.6,0,MARK010,UK Standard Rate,S00-202
FILARETOS rose wine 1.5lt (Box of 12),127.6,0,MARK010-12,UK Standard Rate,
FILARETOS red wine 1.5lt,11.9,0,MARK011,UK Standard Rate,S00-202
FILARETOS red wine 1.5lt (Box of 12),130.9,0,MARK011-12,UK Standard Rate,
FILARETOS Muscat white wine 1.5lt,11.9,0,MARK012,UK Standard Rate,S00-202
FILARETOS muscat white wine  1.5lt (Box of 12),130.9,0,MARK012-12,UK Standard Rate,
SCISSORS Merlot rose wine 750ml (Box of 12),102.3,0,MARK007-12,UK Standard Rate,
"Takeaway Foil linen paper Bag (9,5 x 29) 10kg MEAT THE GREEK",0,0,REB032,UK Standard Rate,S00-28
LACTA Chocolate Spread 360g (Box of 12),68.4,0,MOND044-12,UK Standard Rate,
LACTA Milk Chocolate 200g (Box of 12),52.8,0,MOND042-12,UK Standard Rate,
PAVLIDIS Dark chocolate Orange 100g (Box of 14),38.35,0,MOND043-14,UK Standard Rate,
ION chocofreta dark 38gr (Box of 20),12.35,9,EB013-20,UK Standard Rate,
ION Dark No Added Sugar 60gr (Box of 10),19.8,0,EB021-10,UK Standard Rate,S00-111
ION Break chocolate pistachio 85gr (Box of 12),23.1,18.6,EB026-12,UK Standard Rate,
ION Chocofreta Stevia with Milk Chocolate 30g (Box of 20),10.45,0,EB057-20,UK Standard Rate,
ION Milk Chocolate stevia 60gr (Box of 10),19.8,16,EB020-10,UK Standard Rate,
Vergina Weiss Beer 500ml,2.1,0,VER010,UK Standard Rate,S00-23
Vergina Weiss Beer 500ml (Box of 20),39.9,0,VER010-20,UK Standard Rate,
FILARETOS white wine Askos 5lt,35,0,MARK013,UK Standard Rate,S00-202
FILARETOS rose wine Askos 5lt,35,0,MARK014,UK Standard Rate,S00-202
FILARETOS red wine Askos 5lt,35,0,MARK015,UK Standard Rate,S00-202
FILARETOS Muscat white wine Askos 5lt,35,0,MARK016,UK Standard Rate,S00-202
Loux Still orange juice drink (Blue lid) 330ml,0.8,0,LOUX15,UK Standard Rate,S00-18
Loux Still orange juice drink (Blue lid) 330ml (Pack of 12),8.49,0,LOUX15-12,UK Standard Rate,
"Takeaway greaseproof papers ""Gyroland"" (20x30)10Kg",0,0,REB033,UK Standard Rate,S00-28
"Takeaway greaseproof papers ""CHARTER"" (25x35)10Kg",0,0,REB035,UK Standard Rate,S00-28
"Takeaway Foil linen paper Bag (9,5 x 29) 10kg GYROLAND",0,0,REB036,UK Standard Rate,S00-28
Cocktail 3 fruits nectar juice 1Lt,1.4,0.9,AG007,UK Zero Rate,S00-19
Orange drink 1Lt,1.4,0.85,AG009,UK Zero Rate,S00-19
Sour cherry drink 1Lt,1.4,0.99,AG011,UK Zero Rate,S00-19
Pomegranate nectar juice 1Lt,1.4,0.99,AG013,UK Zero Rate,S00-19
Lemonade drink 1Lt,1.4,0.9,AG015,UK Zero Rate,S00-19
Multivitamin 8 fruits juice 100% 250ml,0.69,0.45,AG017,UK Zero Rate,S00-19
Agros 3 fruits juice 100% 250ml,0.85,0.45,AG019,UK Zero Rate,S00-19
Apple juice 100% 250ml,0.65,0.45,AG021,UK Zero Rate,S00-19
Peach nectar juice 250ml,0.65,0.45,AG023,UK Zero Rate,S00-19
Pomegranate nectar 250ml,0.69,0.45,AG025,UK Zero Rate,S00-19
Orange juice 100% 250ml,0.69,0.45,AG027,UK Zero Rate,S00-19
Pineapple juice 100% 1Lt,1.5,0.99,AG031,UK Zero Rate,S00-19
Strawberry juice drink 1Lt,1.5,0.99,AG033,UK Zero Rate,S00-19
Grape juice 100% 1Lt,1.4,0.99,AG035,UK Zero Rate,S00-19
Orange drink 250ml,0.65,0.45,AG037,UK Zero Rate,S00-19
Rea Chopped tomatoes 400g,1.5,0.55,AG039,UK Zero Rate,S00-19
Rea Grated tomatoes 400g,1.5,0.55,AG040,UK Zero Rate,S00-19
Rea Tomatopaste 410g,1.95,1.2,AG041,UK Zero Rate,S00-19
Rea Tomato Pasata 500g,1.25,0.85,AG042,UK Zero Rate,S00-19
Handmade pearl pasta 500g,4.2,2.4,AGR001,UK Zero Rate,S00-14
Handmade sour trahana 500g,4,2.4,AGR003,UK Zero Rate,S00-14
Handmade sweet trahana 500g,4,2.4,AGR005,UK Zero Rate,S00-14
Handmade hilopites with eggs and milk 500g,4,2.4,AGR007,UK Zero Rate,S00-14
Karolina rice 500g,1.7,0.8,AGR009,UK Zero Rate,S00-14
Nichaki rice 500g,1.7,0.8,AGR011,UK Zero Rate,S00-14
Blue bonnet rice 500g,2,1,AGR013,UK Zero Rate,S00-14
Karolina rice 1Kg,3.3,1.55,AGR015,UK Zero Rate,S00-14
Nichaki rice 1Kg,3.3,1.55,AGR017,UK Zero Rate,S00-14
Blue bonnet rice 1Kg,3.3,1.55,AGR019,UK Zero Rate,S00-14
Lentils 500g,1.95,1.3,AGR021,UK Zero Rate,S00-14
Medium beans 500g,2.3,1.3,AGR023,UK Zero Rate,S00-14
Giant beans 500g,5.2,2.37,AGR025,UK Zero Rate,S00-14
Chickpeas 500g,2.45,1.55,AGR027,UK Zero Rate,S00-14
Blackeyed beans 500g,2.5,1.8,AGR029,UK Zero Rate,S00-14
Fava Yellow 500gr,2.45,1.65,AGR032,UK Zero Rate,S00-14
Granberry beans 500gr,3.4,1.65,AGR033,UK Zero Rate,S00-14
Handmade vegetable pearl pasta 500gr,4.3,3.5,AGR034,UK Zero Rate,S00-14
Handmade pligouri(groats) 500gr,3.7,2.2,AGR036,UK Zero Rate,S00-14
Handmade vegetable trahana 500gr,4.3,3.85,AGR038,UK Zero Rate,S00-14
Handmade pumpkin trahana 500gr,4.9,3.5,AGR040,UK Zero Rate,S00-14
Vegetable Orzo 500gr,3.95,3.4,AGR042,UK Zero Rate,S00-14
Orzo with eggs and milk 500gr,4.8,3.4,AGR044,UK Zero Rate,S00-14
Small Vegetable Pasta Shells 500gr,4.2,3.5,AGR046,UK Zero Rate,S00-14
Angel Hair (pasta) 500gr,4.8,3.4,AGR048,UK Zero Rate,S00-14
Handmade striftaria(pasta) 500g,4.8,3.4,AGR050,UK Zero Rate,S00-14
Artichokes 1Kg,5.99,4.99,AI001,UK Zero Rate,S00-6
Green peas 1Kg,2.99,2.5,AI003,UK Zero Rate,S00-6
Okra 1Kg,5.99,4.75,AI006,UK Zero Rate,S00-6
Spinach leaf 1Kg,3.65,2.5,AI007,UK Zero Rate,S00-6
Spinach with rice 1Kg,4,3.75,AI008,UK Zero Rate,S00-6
Flat beans 1Kg,3.65,2.65,AI009,UK Zero Rate,S00-6
Round beans 1Kg,3.65,2.59,AI010,UK Zero Rate,S00-6
Broccoli 750g,3.99,2.85,AI011,UK Zero Rate,S00-6
Alexakis pitta bread 10cm (Pack of 10),2.49,1.25,AL001,UK Zero Rate,S00-1
Alexakis pitta bread 17cm (Pack of 10),2.9,1.8,AL003,UK Zero Rate,S00-1
Alexakis pitta bread 18cm (Pack of 10),3.15,1.95,AL005,UK Zero Rate,S00-1
Alexakis pitta bread 20cm (Pack of 10),3.19,1.8,AL009,UK Zero Rate,S00-1
Alexakis pitta bread 23cm (Pack of 10),4.5,4,AL011,UK Zero Rate,S00-1
Alexakis pitta bread 25cm (Pack of 10),4.9,4.5,AL013,UK Zero Rate,S00-1
Alexakis squared pitta bread  (Pack of 10),3.5,1.7,AL015,UK Zero Rate,S00-1
Alexakis Cyprian pitta bread 20cm (Pack of 5),2.5,1.25,AL017,UK Zero Rate,S00-1
Alexakis pitta bread corn 17cm (Pack of 10),3.2,1.9,AL020,UK Zero Rate,S00-1
Alexakis pitta bread whole grain 18cm (Pack of 10),3.2,1.9,AL021,UK Zero Rate,S00-1
Alexakis pitta bread 28cm (Pack of 10),7.5,5,AL035,UK Zero Rate,S00-1
KEO Zivania 500ml,21.99,18,AS023,UK Zero Rate,S00-49
LOEL Zivania 200ml,10.49,9,AS025,UK Zero Rate,S00-49
LOEL Zivania 500ml,21.99,18,AS027,UK Zero Rate,S00-49
KEO V.S.O.P. brandy 38% vol. 700ml,19.9,0,AS048,UK Zero Rate,S00-49
Dekaraki tsipouro without anise 200ml,9,7.5,AS049,UK Zero Rate,S00-49
Stuffed vine leaves 280g,2.49,1.7,AS051,UK Zero Rate,S00-49
Red paint for Easter eggs 2.5g,2.19,0.75,AVR001,UK Zero Rate,S00-29
Green paint for Easter eggs 2.5g,2.19,0.75,AVR002,UK Zero Rate,S00-29
Yellow paint for Easter eggs 2.5g,2.19,0.75,AVR003,UK Zero Rate,S00-29
Blue paint for Easter eggs 2.5g,2.19,0.75,AVR004,UK Zero Rate,S00-29
Vanilla 20g,1.9,1,AVR005,UK Zero Rate,S00-29
Chicken seasoning 50g,3,1.5,AVR006,UK Zero Rate,S00-29
Burger seasoning 50g,3,1.5,AVR007,UK Zero Rate,S00-29
Schnitzel seasoning 50g,3,1.5,AVR008,UK Zero Rate,S00-29
Spaghetti seasoning 50g,3,1.5,AVR009,UK Zero Rate,S00-29
Greek souvlaki seasoning 50g,3,1.5,AVR010,UK Zero Rate,S00-29
Tzatziki seasoning 50g,3,1.5,AVR011,UK Zero Rate,S00-29
Fish seasoning 50g,3.9,1.5,AVR012,UK Zero Rate,S00-29
Greek salad seasoning 50g,3,1.5,AVR013,UK Zero Rate,S00-29
Nutmeg powder 14g,2.3,1.5,AVR015,UK Zero Rate,S00-29
Allspice whole 50g,1.6,0.9,AVR016,UK Zero Rate,S00-29
Allspice powder 50g,1.6,0.9,AVR017,UK Zero Rate,S00-29
Eucalyptus leaves 30g,1.6,0.9,AVR020,UK Zero Rate,S00-29
Hibiscus blossoms 70g,2.3,1.5,AVR021,UK Zero Rate,S00-29
Mint 50g,2.1,1.2,AVR022,UK Zero Rate,S00-29
Greek oregano bunch 40g,2.9,1.9,AVR025,UK Zero Rate,S00-29
Greek oregano 500g,15,11,AVR026,UK Zero Rate,S00-29
Valerian 100g,4.5,3,AVR028,UK Zero Rate,S00-29
Milk thistle 50g,4.2,3,AVR029,UK Zero Rate,S00-29
Bay leaves 30g,1.6,0.9,AVR031,UK Zero Rate,S00-29
Rosemary 50g,1.6,0.9,AVR032,UK Zero Rate,S00-29
Echinacea 50g,4.2,3,AVR033,UK Zero Rate,S00-29
Levander 35g,1.6,0.9,AVR034,UK Zero Rate,S00-29
Lemon verbena 20g,2.3,1.5,AVR035,UK Zero Rate,S00-29
Marjoram 60g,1.6,0.9,AVR036,UK Zero Rate,S00-29
Greek mountain tea 50g,2.9,2,AVR037,UK Zero Rate,S00-29
Green mountain tea 50g,3.2,2.2,AVR038,UK Zero Rate,S00-29
Sage 30g,2.7,1.4,AVR039,UK Zero Rate,S00-29
Chamomile 50g,1.6,0.9,AVR041,UK Zero Rate,S00-29
Cinnamon wood 40g,2.45,1.5,AVR042,UK Zero Rate,S00-29
Cinnamon powder 50g,2.3,1.5,AVR043,UK Zero Rate,S00-29
Cardamom powder (KAKOULE)10g,1.9,1.1,AVR044,UK Zero Rate,S00-29
Coriander powder 50g,1.6,0.9,AVR045,UK Zero Rate,S00-29
Chios mastiha drops 10g,3.9,2.4,AVR046,UK Zero Rate,S00-29
Chios mastiha powder 10g,3.9,2.4,AVR047,UK Zero Rate,S00-29
Mahlab powder 10g,2.9,1.8,AVR048,UK Zero Rate,S00-29
Nutmeg powder 20g,2.7,1.9,AVR058,UK Zero Rate,S00-29
Spearmint 500gr,0,9,AVR061,UK Zero Rate,S00-29
PAPRIKA sweet 500gr,0,9,AVR062,UK Zero Rate,S00-29
PAPRIKA 50gr,2,1.2,AVR063,UK Zero Rate,S00-29
Dill 80gr,1.6,0.9,AVR072,UK Zero Rate,S00-29
Sesame seeds 80gr,1.8,1.2,AVR073,UK Zero Rate,S00-29
Clove (whole) 20gr,2.29,1.59,AVR074,UK Zero Rate,S00-29
Clove powder 20gr,2.29,1.59,AVR075,UK Zero Rate,S00-29
Spearmint 20gr,1.65,1.1,AVR076,UK Zero Rate,S00-29
Thyme 20gr,1.65,1.1,AVR077,UK Zero Rate,S00-29
Senna Alexandrina-Synamic 70gr,2.3,1.5,AVR078,UK Zero Rate,S00-29
Bikre gyros chicken 5Kg,40,27.5,BI009,UK Zero Rate,S00-2
Bikre gyros chicken 10Kg,80,55,BI010,UK Zero Rate,S00-2
Bikre gyros chicken 15Kg,120,82.5,BI011,UK Zero Rate,S00-2
Traditional bread roll(box of 70),0,22,BI01-1249,UK Zero Rate,S00-2
Bikre gyros chicken 20Kg,160,110,BI012,UK Zero Rate,S00-2
Bikre gyros chicken 25Kg,200,137.5,BI013,UK Zero Rate,S00-2
Bikre gyros chicken 30Kg,240,165,BI014,UK Zero Rate,S00-2
Bikre gyros chicken 40Kg,320,220,BI015,UK Zero Rate,S00-2
Bikre kontosouvli pork / 3Kg appox.,0,9,BI038,UK Zero Rate,S00-2
Bikre kontosouvli chicken /3 Kg appox.,0,9,BI039,UK Zero Rate,S00-2
Bikre kokoretsi /3 Kg approx.,37.5,9,BI040,UK Zero Rate,S00-2
Bikre chicken fillet nuggets 1Kg,11.2,6.7,BI041,UK Zero Rate,S00-2
Nostimo pepperoni sausages 800g,5.9,4.9,BI043,UK Zero Rate,S00-2
Bikre lamb 7.5-9Kg approx.,110,8.5,BI044,UK Zero Rate,S00-2
Bikre goat 7.5-9Kg approx.,124.9,9.5,BI045,UK Zero Rate,S00-2
Bikre prebaked marinated pork gyros 1Kg,17,12.2,BI050,UK Zero Rate,S00-2
Bikre prebaked marinated chicken gyros 1Kg,17,12.2,BI051,UK Zero Rate,S00-2
Chicken Schnitzel 120gr (1kg pack),11.9,7.5,BI053,UK Zero Rate,S00-2
Soutzoukakia from Kavala 70gr (pack of 1kg),11.9,7.9,BI056,UK Zero Rate,S00-2
Grilled Burger  110gr (1kg pack),12.9,7.9,BI058,UK Zero Rate,S00-2
Bikre handmade marinated pork neck souvlaki 100g (Pack of 10),13.1,6.9,BI063,UK Zero Rate,S00-2
Bikre handmade marinated chicken breast souvlaki 100g (Pack of 10),13.1,6.9,BI064,UK Zero Rate,S00-2
Bikre kebab Kosmopolitiko 100g (Bag of 1Kg),13.5,6.7,BI091,UK Zero Rate,S00-2
Chicken Roll 2Kg,19.5,11.8,BI092,UK Zero Rate,S00-2
Bikre kebab Anatolitiko with cheese cream 100g (Bag of 1Kg),13.9,7.6,BI100,UK Zero Rate,S00-2
Bikre stuffed burger with cheese 140g (Pack of 1Kg),12.99,6.67,BI104,UK Zero Rate,S00-2
Meatballs 1kg,9.4,7.7,BI105,UK Zero Rate,S00-2
Briki Greek coffee warmer pot 140ml,4.9,0,BRI001,UK Zero Rate,S00-82
JOTIS farine lactee cereal with Apple & Pear 300gr,5.2,4.2,EB001,UK Zero Rate,S00-111
JOTIS chocolate nutrition drink 400gr,4.99,3.99,EB002,UK Zero Rate,S00-111
Melissa Pasta Kids Numbers 500gr,1.69,1.15,EB003,UK Zero Rate,S00-111
Melissa Pasta Kids Pets 500gr,1.69,1.15,EB004,UK Zero Rate,S00-111
Melissa Pasta Kids Words 500gr,1.69,1.15,EB005,UK Zero Rate,S00-111
Melissa Pasta Kids 'Cars' 500gr,1.69,1.15,EB006,UK Zero Rate,S00-111
JOTIS Biscuit Cream 300gr,5.2,4.2,EB056,UK Zero Rate,S00-84
Caprice classic wafer rolls with dark chocolate 250gr,4.6,3.15,EB010,UK Zero Rate,S00-84
Telion extra virgin olive oil 5Lt,36.9,25.9,EL001,UK Zero Rate,S00-17
Elaion extra virgin olive oil 1Lt,6.9,5.92,EL003,UK Zero Rate,S00-17
"Whole green olives, Colossal (121-140) 4.2Lt",19.9,10.5,EL009,UK Zero Rate,S00-17
"Pitted green olives, Colossal (121-140) 4.2Lt",23.9,14,EL010,UK Zero Rate,S00-17
"Whole Kalamon olives, Giants (141-160) 13Kg",89.5,68.5,EL011,UK Zero Rate,S00-17
Koko pomace oil 1Lt,3.99,2.98,EL018,UK Zero Rate,S00-17
Elaion  virgin olive oil 1Lt,5.9,4.79,EL019,UK Zero Rate,S00-17
White fish Cod roes 3Kg,0,26,EL021,UK Zero Rate,S00-17
"Whole green olives, Colossal (121-140) 13Kg",71,47,EL022,UK Zero Rate,S00-17
OUZO of KAVALA extra 200ml 38% vol.,7.49,6.5,EN001,UK Zero Rate,S00-97
Gia..gia mas Peach Drink 600gr,12.5,9.8,GIA0001,UK Zero Rate,S00-82
Gia..gia mas  Lemon Drink 600gr,12.5,9.8,GIA0002,UK Zero Rate,S00-82
Gia..gia mas  Strawberry Lemon Drink 600gr,12.5,9.8,GIA0003,UK Zero Rate,S00-82
Gia..gia mas Pomegranate with  Apple  Drink 600gr,12.5,9.8,GIA0004,UK Zero Rate,S00-82
Peach Drink 1300gr,22,16,Gia005,UK Zero Rate,S00-82
LEMONADE Drink 1300gr,22,16,GIA006,UK Zero Rate,S00-82
GREEK PANDAISIA9 FRUITS Drink 1300gr,22,16,GIA007,UK Zero Rate,S00-82
Strawberry Lemon Drink 1300gr,22,16,GIA008,UK Zero Rate,S00-82
Pomegranate with  Apple  Drink 1300gr,22,16,GIA009,UK Zero Rate,S00-82
Gia..gia mas Pandaisia 9 Greek fruits Drink 600gr,12.5,9.8,GIA010,UK Zero Rate,S00-82
GR EAT Kalamon black olives 500g,4.9,0,GREAT001,UK Zero Rate,S00-17
GR•EAT Jumbo green olives 500g,4.5,0,GREAT002,UK Zero Rate,S00-17
GR EAT Tzatziki 500g,3.99,0,GREAT1,UK Zero Rate,S00-17
GR•EAT Cheese Salad 500g,3.99,0,GREAT2,UK Zero Rate,S00-17
GR EAT Kalamon mixed black & green olives 500g,4.9,0,GREAT23,UK Zero Rate,S00-17
GR EAT Hummus 500g,3.99,0,GREAT3,UK Zero Rate,S00-17
GR EAT Fish roe salad 500g,3.99,3,GREAT4,UK Zero Rate,S00-17
ION Dark Chocolate with Almonds 100gr,2.2,1.6,EB011,UK Zero Rate,S00-111
ION NUCREMA cocoa spread with hazelnuts and milk 400g,3.59,2.75,EB017,UK Zero Rate,S00-111
"ION NUCREMA duocolour with milk, hazelnuts and cocoa spread 400g",3.59,2.75,EB018,UK Zero Rate,S00-111
ION Dark with Organic Orange 90gr,2.2,1.45,EB019,UK Zero Rate,S00-111
Parizaki 330g,3.1,1.99,IF001,UK Zero Rate,S00-9
Ferrano parizaki with yoghurt 300g,2.9,1.8,IF002,UK Zero Rate,S00-9
Smoked loin in slices 150g,2.8,2,IF006,UK Zero Rate,S00-9
Smoked bacon in slices 100g,2.2,1.5,IF007,UK Zero Rate,S00-9
Sausages with leek 380g,4.8,2.9,IF008,UK Zero Rate,S00-9
Politika sausages 260g,3.1,2.2,IF010,UK Zero Rate,S00-9
Santorini sausages with sun-dried tomato 340g,4.6,3,IF011,UK Zero Rate,S00-9
"Mykonos sausages with onion, thyme and oregano 340g",4.6,3,IF012,UK Zero Rate,S00-9
IFANTIS Sparta sausages with leek 340g,4.6,3,IF013,UK Zero Rate,S00-9
Naxos sausages with graviera cheese 340g,4.9,3,IF014,UK Zero Rate,S00-9
Trikala sausages with leek 340g,3.8,3,IF015,UK Zero Rate,S00-9
Authentic feta cheese 200g,2.7,2.09,IF016,UK Zero Rate,S00-9
Authentic feta cheese 400g,4.7,3.71,IF017,UK Zero Rate,S00-9
Evros sausages 640g,4.99,4.16,IF025,UK Zero Rate,S00-9
Aubergine salad 2Kg,17.8,8.4,IF028,UK Zero Rate,S00-9
Fish roe salad 2Kg,13,8.4,IF029,UK Zero Rate,S00-9
Chtipiti salad 2Kg,13,8.4,IF030,UK Zero Rate,S00-9
Hummus 2Kg,13,8.4,IF032,UK Zero Rate,S00-9
Evros sausages with leek 640g,5.49,4.79,IF033,UK Zero Rate,S00-9
Salami aeros with DELICANTO 250g,4.9,4.5,IF039,UK Zero Rate,S00-9
Salami aeros with Pepper 250g,4.9,4.5,IF040,UK Zero Rate,S00-9
Authentic feta cheese 800g,9.4,7.42,IF042,UK Zero Rate,S00-9
Thrakis Geuseis Parizaki Garlic 330g,2.99,1.99,IF045,UK Zero Rate,S00-9
Tzatziki  400gr,3.5,2.95,IF047,UK Zero Rate,S00-9
Fish roe salad(taramosalata) 400gr,3.5,2.75,IF048,UK Zero Rate,S00-9
Hot cheese salad (chtipiti) 400gr (no preservatives),4.95,4.05,IF049,UK Zero Rate,S00-9
Russian salad 400gr,3.5,2.75,IF050,UK Zero Rate,S00-9
Agioritiki salad (aubergine salad) 400gr,3.5,3.25,IF052,UK Zero Rate,S00-9
Hummus salad(no preservatives) 400gr,3.5,3.35,IF053,UK Zero Rate,S00-9
Hot Cheese salad 400gr,4.8,3.95,IF054,UK Zero Rate,S00-9
Fouantre smoked turkey glutten free 120gr,3.8,3.95,IF055,UK Zero Rate,S00-9
Sausages peperoni 30-16cm,5.9,4.9,IF058,UK Zero Rate,S00-9
Ioniki Puff pastry pie with feta triangular 190 (box of 50),0,39,ION001,UK Zero Rate,S00-107
Bread ring (koulouri) 90gr (pack of 5),4.6,0,ION0010,UK Zero Rate,S00-107
Ioniki Puff pastry pie with cheese 170gr (box of 40),0,42.9,ION002,UK Zero Rate,S00-107
"Ioniki Puff pastry pie with ham,kaseri & fresh tomato sauce 185 gr(box of 40)",0,42.9,ION003,UK Zero Rate,S00-107
Ioniki Round pie with spinach & feta 235gr(box of 35),0,35,ION0037,UK Zero Rate,S00-107
Bread ring wholegrain (koulouri) 90gr (pack of 5),5.29,0,ION0039,UK Zero Rate,S00-107
Ioniki Puff pastry pie with sausage 150gr(box of 40),0,40,ION004,UK Zero Rate,S00-107
Peinirli Special 260gr(box of 30),0,37,ION0044,UK Zero Rate,S00-107
Brioche with sausage & cheese cream 280gr (box of 35),0,0,ION0045,UK Zero Rate,S00-107
Double roll pie with potato 250gr (box of 40),0,0,ION0046,UK Zero Rate,S00-107
Ioniki Mini bougatsa with cream 470gr (box of 20),0,56,ION0048,UK Zero Rate,S00-107
Ioniki Round pie with feta 235gr(box of 35),0,35,ION0049,UK Zero Rate,S00-107
Ioniki homemade mini pies with spinach & feta triangular 50gr (box of 5Kg),0,51.2,ION0050,UK Zero Rate,S00-107
Ioniki breadstick with praline 170gr(box of 30),0,39,ION0051,UK Zero Rate,S00-107
Ioniki round pie with pumpkin 235gr(box of 35),0,37,ION0052,UK Zero Rate,S00-107
Ioniki homemade mini pies with feta triangular 50gr (box of 5Kg),0,45,ION0053,UK Zero Rate,S00-107
Ioniki breadstick with tahini & praline 130gr (box of 30),0,36,ION0054,UK Zero Rate,S00-107
Ioniki homemade pie with spinach 4pc 1200gr(box of 5),0,33,ION0055,UK Zero Rate,S00-107
Ioniki homemade pie from Epirus with spinach 6pcs 1650gr(box of 4),0,42,ION0056,UK Zero Rate,S00-107
Mini brioche with double sausage 55gr (box of 5),0,49.99,ION0058,UK Zero Rate,S00-107
Round Pie with Feta 2050gr,0,8,ION0059,UK Zero Rate,S00-107
Ioniki Mini bougatsa with feta 530gr(box of 20),0,52,ION006,UK Zero Rate,S00-107
Round pie with spinach & feta 2050gr,12,8,ION0061,UK Zero Rate,S00-107
Bread ring with tomato & olive 220gr (box of 35),0,33,ION0063,UK Zero Rate,S00-107
Breadstick with vegetables 200gr (box of 30),0,33,ION0064,UK Zero Rate,S00-107
SPITIKI ZYMI  Plant-based mini puff pastry with cheese 500gr,4.2,3.9,ION0069,UK Zero Rate,S00-107
Ioniki Mini bougatsa with spinach & feta 575gr (box of 20),0,52,ION007,UK Zero Rate,S00-107
SPITIKI ZYMI Plant-based mini sausage roll 500gr,5.3,6.9,ION0071,UK Zero Rate,S00-107
Ioniki Mini bougatsa with minced meat 530gr (box of 20),0,60,ION008,UK Zero Rate,S00-107
JOTIS mix Mousse Chocolate Flavour 74gr,3.5,2.9,EB028,UK Zero Rate,S00-111
JOTIS instant pudding vanilla cream 62g,1.49,1.1,EB029,UK Zero Rate,S00-111
JOTIS DRY YEAST 3 X 8gr,1.9,1.4,EB030,UK Zero Rate,S00-111
JOTIS mix Mousse Vanilla Flavour 65gr,3.35,2.75,EB031,UK Zero Rate,S00-111
JOTIS Baby Cereal with Biscuit Cream (Farine Lactee) 300gr,5.29,4.29,EB032,UK Zero Rate,S00-111
Cretan graviera cheese 300g,6.4,3.9,KA002,UK Zero Rate,S00-8
Cretan light graviera cheese 300g,4.5,4.05,KA003,UK Zero Rate,S00-8
Cretan graviera cheese with oregano 350g,4.9,4.05,KA004,UK Zero Rate,S00-8
Dry Anthotiros cheese 600g,8.5,4.5,KA006,UK Zero Rate,S00-8
Cretan cheese in brine 400g,5.9,2.9,KA008,UK Zero Rate,S00-8
Cretan cheese in brine 1Kg,13.5,7.6,KA009,UK Zero Rate,S00-8
Prince appetizer yoghurt 5Kg,15,11,KA015,UK Zero Rate,S00-8
Cretan mini graviera cheese approx 1.5.-1.7 Kg,35,24,KA018,UK Zero Rate,S00-8
Grated Cretan cheese 200g,4.6,2.9,KA019,UK Zero Rate,S00-8
Cretan graviera PDO matured 7m 300gr,6.5,3.99,KA020,UK Zero Rate,S00-8
Cretan graviera with 5 peppers 240gr,4.19,3.19,KA021,UK Zero Rate,S00-8
Liq.21% Melody Caramel 0.5lt,15.5,12.5,KAM01,UK Zero Rate,S00-100
Liq.21% anisecoffee 0.5lt,15.5,12.5,KAM02,UK Zero Rate,S00-100
Liq.21% Honeyrum 0.5lt,15.5,12.5,KAM03,UK Zero Rate,S00-100
Liq.21% limocello 0.5lt,15.5,12.5,KAM04,UK Zero Rate,S00-100
Gluhwine 1lt,15.5,12.5,KAM05,UK Zero Rate,S00-100
Cypriot sheftalia 100g (Tray of 3Kg),40,31,KI001,UK Zero Rate,S00-7
Cypriot sheftalia app 580 gr (Pack of 5x100gr),8.8,4.5,KI002,UK Zero Rate,S00-7
Traditional (Mediterranean) mini wheat rusks 350g,3.4,2.45,KRA001,UK Zero Rate,S00-15
Mediterranean breadsticks 250g,3.3,2.65,KRA002,UK Zero Rate,S00-15
